N6705B Exported scope view data

"Scope.offset: 217"
"Scope.points: 8192"
"Scope.tint: 0.00292864"


Voltage 1,Current 1
3.2999,0.00108333
3.29933,0.0010544
3.30086,0.00102761
3.30067,0.00104583
3.30029,0.00104797
3.2999,0.00104154
3.2999,0.00103511
3.30029,0.00106725
3.29952,0.00102975
3.2999,0.00104047
3.29952,0.00102011
3.30029,0.00107047
3.30105,0.00102546
3.30048,0.00104261
3.30048,0.00105976
3.30086,0.00103832
3.30029,0.00104583
3.29971,0.00102868
3.30009,0.00107583
3.30029,0.00103189
3.30029,0.00102118
3.30029,0.00103725
3.30029,0.0010244
3.2999,0.00102011
3.29952,0.00102332
3.30067,0.0010619
3.30009,0.00101797
3.30067,0.00101475
3.29971,0.00102975
3.29952,0.00107154
3.30009,0.00102761
3.30029,0.00100189
3.30009,0.00104154
3.30009,0.00103297
3.29971,0.00101261
3.29933,0.00102225
3.2999,0.00104797
3.30067,0.00100832
3.29971,0.00102975
3.30086,0.00105976
3.30067,0.00102011
3.29933,0.00102118
3.29952,0.00100725
3.30009,0.00105761
3.2999,0.00102761
3.30029,0.00102225
3.29971,0.00104583
3.30029,0.00103725
3.2999,0.00102975
3.29952,0.00101582
3.30009,0.0010619
3.30067,0.00102654
3.30048,0.00104154
3.2999,0.00104154
3.30009,0.0010394
3.30009,0.0010394
3.29914,0.00103618
3.30048,0.00107262
3.30086,0.00103511
3.30029,0.00104583
3.30086,0.00105761
3.30009,0.0010544
3.29952,0.00102332
3.29952,0.00104368
3.30067,0.00109833
3.29952,0.00103725
3.30048,0.00105761
3.30048,0.00107904
3.29933,0.00108869
3.30048,0.00104583
3.30029,0.00106725
3.30009,0.00109619
3.30029,0.00107047
3.30029,0.00106297
3.30029,0.00108976
3.30067,0.00108654
3.29971,0.00107797
3.30124,0.00108333
3.29952,0.00111547
3.29971,0.00108762
3.2999,0.00107476
3.2999,0.00109726
3.30067,0.00111869
3.2999,0.00110155
3.2999,0.00110047
3.30086,0.00112405
3.30067,0.00110262
3.30029,0.0010919
3.30009,0.00111226
3.29971,0.0011219
3.30029,0.00112405
3.30048,0.00111119
3.30029,0.00113476
